"PARTYNUMBER";"LOCATIONID";"VALIDFROM";"LEGISLATIONTYPE";"COUNTRYREGIONID";"DESCRIPTION";"ISSUEDATE";"ISSUER";"REGISTRATIONNUMBER";"SECTION";"TAXREGSTRATIONTYPE";"VALIDTO"
"000000421";"000005021";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0451.244.592";"";"Enterprise number";"2154-12-31 00:00:00"
"000000421";"000005021";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0451.244.592";"";"VAT";"2154-12-31 00:00:00"
"000000423";"000005023";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0405.350.033";"";"Enterprise number";"2154-12-31 00:00:00"
"000000423";"000005023";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0405.350.033";"";"VAT";"2154-12-31 00:00:00"
"000000424";"000005024";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0416.598.370";"";"Enterprise number";"2154-12-31 00:00:00"
"000000424";"000005024";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0416.598.370";"";"VAT";"2154-12-31 00:00:00"
"000000425";"000005025";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0405.317.567";"";"Enterprise number";"2154-12-31 00:00:00"
"000000425";"000005025";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0405.317.567";"";"VAT";"2154-12-31 00:00:00"
"000000426";"000005026";"2018-03-30 00:00:00";"UID";"BEL";"";"1900-01-01 00:00:00";"";"BTW BE0653.979.542";"";"Enterprise number";"2154-12-31 00:00:00"
"000000426";"000005026";"2018-03-30 00:00:00";"TAXID";"BEL";"";"1900-01-01 00:00:00";"";"BE0653.979.542";"";"VAT";"2154-12-31 00:00:00"
